time_s,mission_phase,reference_x,reference_y,reference_z,truth_x,truth_y,truth_z,estimate_x,estimate_y,estimate_z,tracking_error_x_m,tracking_error_y_m,tracking_error_z_m,estimation_error_x_m,estimation_error_y_m,estimation_error_z_m,truth_roll_deg,truth_pitch_deg,truth_yaw_deg,reference_yaw_deg,yaw_tracking_error_deg,thrust_0_n,thrust_1_n,thrust_2_n,thrust_3_n,torque_x_nm,torque_y_nm,torque_z_nm,solver_time_ms,solver_iterations,solver_success,solver_status
0.56,takeoff,0,0,-0.057028594,-1.8524476e-18,-1.0220194e-18,-0.075203059,0.020508306,0.012934422,-0.077823617,-1.8524476e-18,-1.0220194e-18,-0.018174465,0.020508306,0.012934422,-0.0026205578,-1.8223812e-16,2.4185173e-16,1.2722219e-14,0,0,2.9909017,2.9909017,2.9909017,2.9909017,0,0,0,0.016667,0,True,mission_takeoff
0.57,takeoff,0,0,-0.057028594,-1.9620731e-18,-1.0925568e-18,-0.076797896,0.021118875,0.014283404,-0.079355573,-1.9620731e-18,-1.0925568e-18,-0.019769302,0.021118875,0.014283404,-0.0025576763,-1.865836e-16,2.46727e-16,1.2722219e-14,0,0,2.9909017,2.9909017,2.9909017,2.9909017,0,0,0,0.016667,0,True,mission_takeoff
0.58,takeoff,0,0,-0.057028594,-2.0759917e-18,-1.1663408e-18,-0.078408701,0.021745873,0.015665057,-0.080898111,-2.0759917e-18,-1.1663408e-18,-0.021380107,0.021745873,0.015665057,-0.0024894094,-1.9092909e-16,2.5160228e-16,1.2722219e-14,0,0,2.9909017,2.9909017,2.9909017,2.9909017,0,0,0,0.016667,0,True,mission_takeoff
0.59,takeoff,0,0,-0.057028594,-2.1942882e-18,-1.2434471e-18,-0.080035473,0.022393464,0.017083308,-0.082457879,-2.1942882e-18,-1.2434471e-18,-0.023006879,0.022393464,0.017083308,-0.002422406,-1.9527457e-16,2.5647755e-16,1.2722219e-14,0,0,2.9909017,2.9909017,2.9909017,2.9909017,0,0,0,0.016667,0,True,mission_takeoff
0.6,takeoff,0,0,-0.063136637,-2.3170476e-18,-1.3239512e-18,-0.081678212,0.023065815,0.018538873,-0.084041146,-2.3170476e-18,-1.3239512e-18,-0.018541575,0.023065815,0.018538873,-0.0023629337,-1.9962006e-16,2.6135282e-16,1.2722219e-14,0,0,2.9909017,2.9909017,2.9909017,2.9909017,0,0,0,0.016667,0,True,mission_takeoff
0.61,takeoff,0,0,-0.063136637,-2.4443708e-18,-1.4079411e-18,-0.083340445,0.031910335,0.0022516236,-0.09419412,-2.4443708e-18,-1.4079411e-18,-0.020203808,0.031910335,0.0022516236,-0.010853676,-2.0396554e-16,2.6622809e-16,1.2722219e-14,0,0,3.0144098,3.0144098,3.0144098,3.0144098,0,0,0,0.016192,0,True,mission_takeoff
0.62,takeoff,0,0,-0.063136637,-2.5763629e-18,-1.4955081e-18,-0.085026481,0.033160623,0.0026472993,-0.096072904,-2.5763629e-18,-1.4955081e-18,-0.021889844,0.033160623,0.0026472993,-0.011046423,-2.0831102e-16,2.7110336e-16,1.2722219e-14,0,0,3.0144098,3.0144098,3.0144098,3.0144098,0,0,0,0.016192,0,True,mission_takeoff
0.63,takeoff,0,0,-0.063136637,-2.7131093e-18,-1.5867282e-18,-0.08673632,0.034447111,0.0030457517,-0.097978261,-2.7131093e-18,-1.5867282e-18,-0.023599683,0.034447111,0.0030457517,-0.011241941,-2.1265651e-16,2.7597863e-16,1.2722219e-14,0,0,3.0144098,3.0144098,3.0144098,3.0144098,0,0,0,0.016192,0,True,mission_takeoff
0.64,takeoff,0,0,-0.063136637,-2.8546956e-18,-1.6816777e-18,-0.088469962,0.035772236,0.0034489693,-0.099910038,-2.8546956e-18,-1.6816777e-18,-0.025333325,0.035772236,0.0034489693,-0.011440076,-2.1700199e-16,2.8085391e-16,1.2722219e-14,0,0,3.0144098,3.0144098,3.0144098,3.0144098,0,0,0,0.016192,0,True,mission_takeoff
0.65,takeoff,0,0,-0.07019045,-3.0012073e-18,-1.7804327e-18,-0.090227408,0.037142586,0.0038624232,-0.10186592,-3.0012073e-18,-1.7804327e-18,-0.020036958,0.037142586,0.0038624232,-0.011638509,-2.2134748e-16,2.8572918e-16,1.2722219e-14,0,0,3.004087,3.004087,3.004087,3.004087,0,0,0,0.017149001,0,True,mission_takeoff
